occupation_code,jaccard,pairs_2020,pairs_2026,hot_2020,hot_2026,in_demand_2026
53-4041.00,0.0,2,1,1,1,0
33-2022.00,0.111,3,27,1,22,0
51-9123.00,0.111,5,5,3,3,0
47-5081.00,0.143,3,5,3,5,0
47-5051.00,0.154,3,12,1,8,0
25-2023.00,0.155,19,93,7,69,0
25-2011.00,0.182,6,20,4,3,0
47-2151.00,0.2,4,2,2,2,0
19-2099.01,0.202,20,87,12,56,1
49-2093.00,0.211,5,18,3,14,4
